model_architecture,feature_representation,encoder_or_vectorizer,score_type,train_samples,test_samples,threshold,accuracy,precision,recall,f1_score,roc_auc,multilingual_support,inference_speed
Classical TF-IDF + Calibrated LinearSVC,"Word n-grams (1,2) with Sublinear TF (50k features)",TfidfVectorizer,calibrated_probability,130009,32503,0.5499999999999999,0.9962,0.9968,0.9959,0.9964,0.9999,Preserves Unicode text; high accuracy on English and Latin scripts,Ultra-fast (< 1 ms per sample)
Multilingual Sentence Transformer + Calibrated Head,Dense Multilingual Embeddings (384-dimensional),sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,calibrated_probability,15000,5000,0.5,0.9378,0.9372,0.9427,0.9399,0.9841,50+ languages natively supported by pretrained encoder,Standard Transformer (~10-25 ms per sample on CPU)
